Date,Clicks,Impressions,CTR,Position
2025-07-13,1,192,0.52%,14.45
2025-07-12,0,195,0%,14.66
2025-07-11,1,145,0.69%,12.67
2025-07-10,0,124,0%,17.68
2025-07-09,1,141,0.71%,12.17
2025-07-08,0,178,0%,14.19
2025-07-07,2,172,1.16%,9.88
2025-07-06,0,159,0%,12.42
2025-07-05,0,198,0%,9.57
2025-07-04,0,216,0%,10.85
2025-07-03,0,150,0%,12.24
2025-07-02,1,230,0.43%,12.41
2025-07-01,1,309,0.32%,11.29
2025-06-30,1,247,0.4%,11.64
2025-06-29,0,150,0%,19.13
2025-06-28,0,221,0%,14.4
2025-06-27,3,196,1.53%,10.75
2025-06-26,0,192,0%,13.29
2025-06-25,0,117,0%,16.03
2025-06-24,1,54,1.85%,34.56
2025-06-23,0,37,0%,46.49
2025-06-22,1,39,2.56%,46.59
2025-06-21,0,31,0%,53.32
2025-06-20,0,18,0%,47.78
2025-06-19,0,24,0%,32.71
2025-06-18,0,46,0%,42.85
2025-06-17,2,45,4.44%,61.8
2025-06-16,1,43,2.33%,60.09
2025-06-15,1,45,2.22%,61.82
2025-06-14,0,23,0%,57.09
2025-06-13,3,38,7.89%,53.58
2025-06-12,0,45,0%,68.29
2025-06-11,0,33,0%,46.55
2025-06-10,1,45,2.22%,58.84
2025-06-09,0,31,0%,50.9
2025-06-08,0,38,0%,57.29
2025-06-07,1,44,2.27%,59.84
2025-06-06,0,31,0%,60.84
2025-06-05,1,26,3.85%,37.92
2025-06-04,2,94,2.13%,8.79
2025-06-03,0,36,0%,53.58
2025-06-02,0,16,0%,43.94
2025-06-01,0,14,0%,49.43
2025-05-31,0,17,0%,40.35
2025-05-30,1,25,4%,47.36
2025-05-29,0,26,0%,51.38
2025-05-28,1,169,0.59%,4.47
2025-05-27,0,76,0%,4.93
2025-05-26,0,22,0%,66.77
2025-05-25,1,12,8.33%,41.58
2025-05-24,0,10,0%,34.6
2025-05-23,1,26,3.85%,29.65
2025-05-22,0,20,0%,31.25
2025-05-21,0,23,0%,31.87
2025-05-20,0,24,0%,38.83
2025-05-19,0,21,0%,30.14
2025-05-18,0,25,0%,38.12
2025-05-17,0,30,0%,54.63
2025-05-16,1,80,1.25%,70.61
2025-05-15,0,81,0%,55.81
2025-05-14,2,109,1.83%,50.72
2025-05-13,2,46,4.35%,44.54
2025-05-12,1,22,4.55%,34.14
2025-05-11,1,26,3.85%,43.46
2025-05-10,0,60,0%,58.95
2025-05-09,0,102,0%,58.86
2025-05-08,0,114,0%,62.16
2025-05-07,2,141,1.42%,57.72
2025-05-06,1,113,0.88%,58.7
2025-05-05,0,94,0%,57.88
2025-05-04,1,102,0.98%,62.88
2025-05-03,0,73,0%,57.97
2025-05-02,0,101,0%,59.53
2025-05-01,0,122,0%,53.04
2025-04-30,0,137,0%,57.67
2025-04-29,2,181,1.1%,61.25
2025-04-28,2,145,1.38%,59.28
2025-04-27,0,145,0%,64.97
2025-04-26,1,132,0.76%,62.67
2025-04-25,0,168,0%,63.79
2025-04-24,0,148,0%,64.64
2025-04-23,1,146,0.68%,63.69
2025-04-22,0,179,0%,66.71
2025-04-21,2,143,1.4%,67.86
2025-04-20,0,142,0%,67.49
2025-04-19,0,125,0%,68.18
2025-04-18,0,144,0%,63.87
2025-04-17,0,127,0%,67.86
2025-04-16,1,120,0.83%,67.5
2025-04-15,0,148,0%,70.97
2025-04-14,1,109,0.92%,71.75