Rank,Category,Monthly Searches,Avg CPC,Difficulty (0-100),Opportunity Score,Top Keyword
1,"custom",405000,6.83,NaN,NaN,"custom t-shirts"
2,"funny",81300,1.07,NaN,NaN,"funny t-shirts"
3,"graphic",72800,0.98,NaN,NaN,"graphic t-shirts"
4,"bulk",66600,5.41,NaN,NaN,"bulk t-shirts"
5,"vintage",54370,0.93,NaN,NaN,"vintage t-shirts"
6,"band",44910,1.35,NaN,NaN,"band t-shirts"
7,"disney",36300,0.66,NaN,NaN,"disney t-shirts"
8,"blank",31200,3.33,NaN,NaN,"blank t-shirts"
9,"memes",29700,0.71,NaN,NaN,"memes t-shirts"
10,"christmas",29700,0.43,NaN,NaN,"christmas t-shirts"
11,"designer",29650,0.81,NaN,NaN,"designer t-shirts"
12,"christian",29600,1.36,NaN,NaN,"christian t-shirts"
13,"plain",24300,1.86,NaN,NaN,"plain t-shirts"
14,"cheap",24300,4.25,NaN,NaN,"cheap t-shirts"
15,"girlfriend",24200,1.25,NaN,NaN,"girlfriend t-shirts"
16,"halloween",19890,0.85,NaN,NaN,"halloween t-shirts"
17,"hockey",19800,1.21,NaN,NaN,"hockey t-shirts"
18,"personalized",16270,3.68,NaN,NaN,"personalized t-shirts"
19,"dog",14200,1.3,NaN,NaN,"dog t-shirts"
20,"baseball",13790,0.96,NaN,NaN,"baseball t-shirts"
21,"cat",13370,1.22,NaN,NaN,"cat t-shirts"
22,"retro",13200,1.57,NaN,NaN,"retro t-shirts"
23,"marvel",13200,0.51,NaN,NaN,"marvel t-shirts"
24,"gaming",13200,0.81,NaN,NaN,"gaming t-shirts"
25,"golf",13200,1.25,NaN,NaN,"golf t-shirts"
26,"patriotic",13200,1.54,NaN,NaN,"patriotic t-shirts"
27,"art",13140,1.27,NaN,NaN,"party t-shirts"
28,"rock",10800,1.41,NaN,NaN,"rock t-shirts"
29,"harry potter",10800,0.5,NaN,NaN,"harry potter t-shirts"
30,"wolf",10800,0.62,NaN,NaN,"wolf t-shirts"
31,"anime",9520,1.35,NaN,NaN,"anime t-shirts"
32,"star wars",8820,0.56,NaN,NaN,"star wars t-shirts"
33,"thanksgiving",8820,0.28,NaN,NaN,"thanksgiving t-shirts"
34,"graduation",8820,0.77,NaN,NaN,"graduation t-shirts"
35,"nerd",8800,1.27,NaN,NaN,"nerd t-shirts"
36,"minecraft",8700,0.48,NaN,NaN,"minecraft t-shirts"
37,"sports",8700,1.48,NaN,NaN,"sports t-shirts"
38,"streetwear",8700,1.1,NaN,NaN,"streetwear t-shirts"
39,"fish",8700,1.17,NaN,NaN,"fish t-shirts"
40,"gym",8080,1.84,NaN,NaN,"gym t-shirts"
41,"nurse",7460,1.17,NaN,NaN,"nurse t-shirts"
42,"sarcastic",7200,0.62,NaN,NaN,"sarcastic t-shirts"
43,"basketball",7200,0.91,NaN,NaN,"basketball t-shirts"
44,"workout",7200,2.18,NaN,NaN,"workout t-shirts"
45,"surf",7200,1.46,NaN,NaN,"surf t-shirts"
46,"geek",7200,2.7,NaN,NaN,"geek t-shirts"
47,"dad",7200,1.98,NaN,NaN,"dad t-shirts"
48,"pride",7200,1.03,NaN,NaN,"pride t-shirts"
49,"feminist",7200,1.02,NaN,NaN,"feminist t-shirts"
50,"rap",7140,0.81,NaN,NaN,"rap t-shirts"
51,"humor",6700,0.99,NaN,NaN,"dark humor t-shirts"
52,"summer",6390,1.16,NaN,NaN,"summer t-shirts"
53,"fishing",5820,0.78,NaN,NaN,"fishing t-shirts"
54,"hip hop",5700,1.36,NaN,NaN,"hip hop t-shirts"
55,"video game",5700,0.84,NaN,NaN,"video game t-shirts"
56,"beach",5700,0.97,NaN,NaN,"beach t-shirts"
57,"quotes",5700,1.33,NaN,NaN,"quotes t-shirts"
58,"american",5700,1.64,NaN,NaN,"american t-shirts"
59,"political",5390,1.05,NaN,NaN,"political t-shirts"
60,"military",5190,1.89,NaN,NaN,"military t-shirts"
61,"movie",5120,1.4,NaN,NaN,"movie t-shirts"
62,"usa",5120,0.94,NaN,NaN,"usa t-shirts"
63,"birthday",4940,0.57,NaN,NaN,"birthday t-shirts"
64,"soccer",4830,0.9,NaN,NaN,"soccer t-shirts"
65,"country",4820,0.7,NaN,NaN,"country t-shirts"
66,"metal",4800,0.99,NaN,NaN,"metal t-shirts"
67,"punk",4800,1.15,NaN,NaN,"punk t-shirts"
68,"football",4800,0.61,NaN,NaN,"football t-shirts"
69,"religious",4800,1.02,NaN,NaN,"religious t-shirts"
70,"protest",4800,0.74,NaN,NaN,"protest t-shirts"
71,"bear",4190,0.96,NaN,NaN,"bear t-shirts"
72,"math",4120,0.95,NaN,NaN,"math t-shirts"
73,"couples",4060,0.63,NaN,NaN,"couples t-shirts"
74,"fortnite",3910,0.41,NaN,NaN,"fortnite t-shirts"
75,"tennis",3900,1.31,NaN,NaN,"tennis t-shirts"
76,"skate",3900,0.98,NaN,NaN,"skate t-shirts"
77,"horse",3900,0.73,NaN,NaN,"horse t-shirts"
78,"family",3900,0.82,NaN,NaN,"family t-shirts"
79,"grunge",3900,1.29,NaN,NaN,"grunge t-shirts"
80,"trendy",3900,0.84,NaN,NaN,"trendy t-shirts"
81,"luxury",3900,2.95,NaN,NaN,"luxury t-shirts"
82,"music",3870,1.41,NaN,NaN,"music t-shirts"
83,"teacher",3870,1.68,NaN,NaN,"teacher t-shirts"
84,"beer",3820,0.81,NaN,NaN,"beer t-shirts"
85,"grandma",3800,0.74,NaN,NaN,"grandma t-shirts"
86,"tiger",3340,0.98,NaN,NaN,"tiger t-shirts"
87,"running",3200,1.49,NaN,NaN,"running t-shirts"
88,"pets",3200,3.07,NaN,NaN,"pets t-shirts"
89,"tequila",3200,0.91,NaN,NaN,"tequila t-shirts"
90,"bachelor",3010,1.01,NaN,NaN,"bachelorette t-shirts"
91,"faith",3000,0.93,NaN,NaN,"faith t-shirts"
92,"easter",3000,0.47,NaN,NaN,"easter t-shirts"
93,"police",3000,1.14,NaN,NaN,"police t-shirts"
94,"veteran",3000,1.91,NaN,NaN,"veteran t-shirts"
95,"coffee",3000,0.61,NaN,NaN,"coffee t-shirts"
96,"bbq",3000,0.79,NaN,NaN,"bbq t-shirts"
97,"gothic",3000,1.17,NaN,NaN,"gothic t-shirts"
98,"hunting",2690,0.97,NaN,NaN,"hunting t-shirts"
99,"dad jokes",2650,1.15,NaN,NaN,"dad jokes t-shirts"
100,"grandpa",2650,0.88,NaN,NaN,"grandpa t-shirts"